StartDate,open
2021-09-16,69.15
2021-09-17,65.21
2021-09-18,65.21
2021-09-19,65.21
2021-09-20,65.21
2021-09-21,65.21
2021-09-22,60.66
2021-09-23,60.8
2021-09-24,63.56
2021-09-25,63.56
2021-09-26,63.56
2021-09-27,61.27
2021-09-28,62.1
2021-09-29,62.21
2021-09-30,59.89
2021-10-01,59.89
2021-10-02,59.89
2021-10-03,59.89
2021-10-04,59.89
2021-10-05,59.89
2021-10-06,59.89
2021-10-07,59.89
2021-10-08,63.3
2021-10-09,63.3
2021-10-10,63.3
2021-10-11,61.4
2021-10-12,61.02
2021-10-13,61.1
2021-10-14,60.91
2021-10-15,61.2
2021-10-16,61.2
2021-10-17,61.2
2021-10-18,59.76
2021-10-19,59.0
2021-10-20,59.46
2021-10-21,57.25
2021-10-22,60.52
2021-10-23,60.52
2021-10-24,60.52
2021-10-25,64.02
2021-10-26,62.3
2021-10-27,58.1
2021-10-28,51.96
2021-10-29,51.11
2021-10-30,51.11
2021-10-31,51.11
2021-11-01,51.45
2021-11-02,53.0
2021-11-03,51.19
2021-11-04,52.5
2021-11-05,52.33
2021-11-06,52.33
2021-11-07,52.33
2021-11-08,51.3
2021-11-09,51.71
2021-11-10,52.46
2021-11-11,52.95
2021-11-12,59.08
2021-11-13,59.08
2021-11-14,59.08
2021-11-15,57.45
2021-11-16,62.1
2021-11-17,61.58
2021-11-18,59.48
2021-11-19,58.8
2021-11-20,58.8
2021-11-21,58.8
2021-11-22,60.13
2021-11-23,58.0
2021-11-24,56.2
2021-11-25,56.88
2021-11-26,57.28
2021-11-27,57.28
2021-11-28,57.28
2021-11-29,54.9
2021-11-30,53.88
2021-12-01,53.43
2021-12-02,54.52
2021-12-03,52.72
2021-12-04,52.72
2021-12-05,52.72
2021-12-06,53.12
2021-12-07,55.5
2021-12-08,62.0
2021-12-09,63.5
2021-12-10,63.0
2021-12-11,63.0
2021-12-12,63.0
2021-12-13,62.0
2021-12-14,61.0
2021-12-15,59.97
2021-12-16,58.79
2021-12-17,59.5
